No.,商品名,卸価格
986-A,ﾜｲﾄﾞｶｯﾌﾟ強力ﾃｰﾌﾟ NIDEK(100枚入),2500
985,氷結ネジ抜きスプレー,1127
984,鼻盛シミュレーションセット,33810
983,ﾜﾝﾀｯﾁﾊﾟｯﾄはずし,2070
982,ヤットコ,4100
980,グリップペースト,1150
979-721,太目ネジW 1.42×4.5,299
979-720,太目ネジW 1.42×3.3,299
979-719,太目ネジW 1.42×3.0,299
979-718,太目ネジW 1.42×2.8,299
979-717,太目ネジW 1.42×2.5,299
979-716,太目ネジW 1.42×2.3,299
979,太目ネジセットW,1850
978MG,(+)茶頭ドライバ－MINI1.5㎜ グリップ付,1160
978M,(+)茶頭ドライバ－MINI1.5㎜,990
978G,＋茶頭ドライバー(1.5mm)グリップ付,1160
978,＋茶頭ドライバー(1.5mm),990
977-RE,ツールゴムコーティング(赤),1950
977-BK,ツールゴムコーティング(黒),1950
977-B,ツールゴムコーティング(青),1950
976-A,ｱﾝﾁｰﾌｫｸﾞ ｱﾙﾌｧ くもり止め 単品,490
976,ｱﾝﾁｰﾌｫｸﾞ ｱﾙﾌｧ くもり止め 24個入,11760
975-C,パーツケース（分割型）大,207
975-B,パーツケース（分割型）中,161
975-A20,パーツケース（分割型）小お徳用,1794
975-A,パーツケース（分割型）小,92
974-B,レンズ保護テープ 粘着強力(1ロール、1000ヶ入),27600
974-A,レンズ保護テープ 粘着強力(10シート、100ヶ入),3312
971-P,ヤットコ（プレミアムライン）,8200
970-1,NO.970ﾔｯﾄｺ先ﾌﾟﾗｽﾁｯｸ,403
970,ヤットコ,5600
969,ヤットコ,4900
968,ヤットコ,5600
967,丁番座金メンテナンスKit,6785
965N,丁番座金パーツセット8種,2450
965G,丁番座金パーツセット8種(グラファイト),2450
965,丁番座金パーツセット7種,2150
964-1,NO.964ﾔｯﾄｺ先ﾌﾟﾗｽﾁｯｸ,403
964,ヤットコ,4000
963-10,メガネのくもり止め濃密ジェル台紙セット(10コ入り),4900
963,メガネのくもり止め濃密ジェル,490
962-EX,ﾌﾛﾛｶｰﾎﾞﾝﾃｸﾞｽ 0.5mmﾅｲﾛｰﾙﾌﾚｰﾑ用 ﾄｰﾒｲ,1400
961,石原色覚検査表Ⅱコンサイス版,14000
95-Y,青棒 光沢剤入,1840
95-X,バフ布メタル用150mm(2枚入り),2875
95-W,バフ布セル用150mm(2枚入り),2990
95-V,"バフ布メタル用V[No.95,694,758,989兼用]",2990
95-U,"バフ布セル用U[No.95,694,758,989兼用]",2990
95-T,バフ掻き,2185
95-R,"茶棒セル,ベッコウ用",1380
95-L,フェルトバフ100mm,1500
95-J,バフ布荒用150mm(2枚入り),4200
95-E,フィルター,9500
95-D,緑棒メタル用(極細),2100
959,眼鏡測定器,4370
958-701-WN,高級ｼｰﾄﾓﾀﾞﾝ丸芯1.5×70 ﾜｲﾝ,368
958-701-PL,高級ｼｰﾄﾓﾀﾞﾝ丸芯1.5×70 ﾌﾟﾗﾑ,368
958-701-P,高級ｼｰﾄﾓﾀﾞﾝ丸芯1.5×70 ﾋﾟﾝｸ,368
957-699,±OSハイブリッドロックG1.4×4.0,299
957-698,±OSハイブリッドロックG1.4×3.6,299
957-697,±OSハイブリッドロックG1.4×3.2,299
957-696,±OSハイブリッドロックG1.4×2.8,299
957-695,±OSハイブリッドロックG1.4×2.4,299
956-M,セルシールＭミニ M 1.8㎜ 10組,3200
956-LL,セルシ－ルＭミニ ＬＬ 3.0㎜ 10組,3200
956-L,セルシールＭミニ L 2.5㎜ 10組,3200
953,丁番座金ホルダー,3450
952,メガネのくもり止めクロス3枚入,227
951-689S,±OSハイブリッドロックW(50本入),1480
951-689B,±OSハイブリッドロックW(300本入),8000
951-689A,±OSハイブリッドロックW(100本入),2860
951-689,±OSハイブリッドロックW1.4×4.0,299
951-688S,±OSハイブリッドロックW(50本入),1480
951-688B,±OSハイブリッドロックW(300本入),8000
951-688A,±OSハイブリッドロックW(100本入),2860
951-688,±OSハイブリッドロックW1.4×3.6,299
951-687S,±OSハイブリッドロックW(50本入),1480
951-687B,±OSハイブリッドロックW(300本入),8000
951-687A,±OSハイブリッドロックW(100本入),2860
951-687,±OSハイブリッドロックW1.4×3.2,299
951-686S,±OSハイブリッドロックW(50本入),1480
951-686B,±OSハイブリッドロックW(300本入),8000
951-686A,±OSハイブリッドロックW(100本入),2860
951-686,±OSハイブリッドロックW1.4×2.8,299
951-685S,±OSハイブリッドロックW(50本入),1480
951-685B,±OSハイブリッドロックW(300本入),8000
951-685A,±OSハイブリッドロックW(100本入),2860
951-685,±OSハイブリッドロックW1.4×2.4,299
95-14,バフモーター用スパナ,575
950-682C,±ハイブリッドボルトW(1000本入),8350
950-682B,±ハイブリッドボルトW(300本入),2650
950-682A,±ハイブリッドボルトW(100本入),955
950-682,±ハイブリッドボルトW1.4×4.0,299
950-681,±ハイブリッドボルトW1.4×3.7,299
950-680C,±ハイブリッドボルトW(1000本入),8350
950-680B,±ハイブリッドボルトW(300本入),2650
950-680A,±ハイブリッドボルトW(100本入),955
950-680,±ハイブリッドボルトW1.4×3.5,299
950-678C,±ハイブリッドボルトW(1000本入),8350
950-678B,±ハイブリッドボルトW(300本入),2650
950-678A,±ハイブリッドボルトW(100本入),955
950-678,±ハイブリッドボルトW1.4×3.0,299
950-677C,±ハイブリッドボルトW(1000本入),8350
950-677B,±ハイブリッドボルトW(300本入),2650
950-677A,±ハイブリッドボルトW(100本入),955
950-677,±ハイブリッドボルトW1.4×2.7,299
950-676C,±ハイブリッドボルトW(1000本入),8350
950-676B,±ハイブリッドボルトW(300本入),2650
950-676A,±ハイブリッドボルトW(100本入),955
950-676,±ハイブリッドボルトW1.4×2.5,299
950-675,±ハイブリッドボルトW1.4×2.0,299
95,吸塵バフモーター,169000
947-FR,LED拡大鏡smolia Free,1660
946-D,プライスホルダー (ノンコピー)D(100枚入),1650
946-C,プライスホルダー（ノンコピー) C(100枚入),1650
946-B,プライスホルダー（ノンコピー)B(100枚入),1650
946-A,プライスホルダー（ノンコピー)A(100枚入),1650
945-D,プライスタグD(100枚入),2900
945-C,プライスタグC(100枚入),2900
945-B,プライスタグB(100枚入),2900
945-A,プライスタグA(100枚入),2900
944,ドライバーグリップ単品,230
942,ピンセット,2300
93N,歪度計(LED照明付)ﾌﾞﾗｯｸ,36000
939N,ビームライトミニ（ペンライト）,2800
938,コンビ・カーブスケール,1495
937-1,NO.937ﾔｯﾄｺ先ﾌﾟﾗｽﾁｯｸ(1組中1ヶ分),403
937,ヤットコ,4000
936,ヤットコ(先平),4400
935N,マイクロファイバー手袋Ｍサイズ（5双入り）,2875
931-A,オプティネットクリーナー(スプレー）,275
931,セミオーダーオリジナルクリーナー180本,49500
930-E,遠近Ｖパット 5ペア(ネジ式)ディスプレイ,3690
930-D,遠近Vパット10ペア（ワンタッチ式・お徳用）,6250
930-C,遠近Vパット1ペア（ワンタッチ式）,740
930-B,遠近Vパット10ペア（ネジ式・お徳用）,6250
930-A,遠近Vパット1ペア（ネジ式）,740
930,遠近Vパット12ペア（ディスプレイ）,8830
929-C,ハイカーブグラス体験用セット10ペア,20000
929-B,ハイカーブグラス体験用セット6ペア,16000
929-A,ハイカーブグラス体験用セット3ペア,13000
929-6,ハイカーブグラス体験用パーツ（ケース）,5400
929-5,ハイカーブグラス体験用パーツ（軸度計）,1200
929-4,ハイカーブグラス体験用パーツ（Cリング）,900
929-3,ハイカーブグラス体験用パーツ（HCリング）,1200
929-2,ハイカーブグラス体験用パーツ（フレーム）,3600
928-F,ﾒｶﾞﾈｸﾘｰﾅふきふきくもり止め40包×4箱,2020
928-E,ﾒｶﾞﾈｸﾘｰﾅふきふき くもり止めﾌﾟﾗｽ20包×6箱入,1770
928-D,ﾒｶﾞﾈｸﾘｰﾅふきふき40包×4箱入,1860
928-B,ﾒｶﾞﾈｸﾘｰﾅふきふき20包×6箱入,1620
927-B,プロテクトフィルムテープ18mm×100m,989
927-A,プロテクトフィルムテープ38mm×100m,1449
924,歪度計（コンパクトタイプ）照明付,15600
923-B,レンズロックテープ(1ロール、1000ヶ入),7452
923-A,レンズロックテープ(10シート、100ヶ入),828
922-B,レンズロックテープ(1ロール、1000ヶ入),12420
922-A,レンズロックテープ(10シート、100ヶ入),1380
921-19,LEDスウィングルーペ クロコ・赤,1750
921-17,LEDスウィングルーペ オーストリッチ・ブラウン,1750
921-16,LEDスウィングルーペ オーストリッチ・黒,1750
921-15,LEDスウィングルーペ 音符・黒,1750
921-10,LEDスウィングルーペ クローバー・ベージュ,1750
917-A,メガネソフトケースお徳用25ヶ入り,2530
917,メガネソフトケース,113
912-C,超音波洗浄器用ステンレスタンク,4100
912-A,超音波洗浄器用架台,2070
912,超音波洗浄器,66125
910G,(＋)ファインドライバー(2.5mm)グリップ付,1150
910,(＋)ファインドライバー 2.5mm,978
909G,(＋)ファインドライバー(2.0mm)グリップ付,1150
909,(＋)ファインドライバー 2.0mm,978
908G,(＋)ファインドライバー(1.5mm)グリップ付,1150
908,(＋)ファインドライバー 1.5mm,978
907G,(－)ファインドライバー(2.5mm)グリップ付,1150
907,(－)ファインドライバー 2.5mm,978
906G,(－)ファインドライバー(2.0mm)グリップ付,1150
906,(－)ファインドライバー 2.0mm,978
905G,(－)ファインドライバー(1.5mm)グリップ付,1150
905,(－)ファインドライバー 1.5mm,978
902-B,ﾚﾝｽﾞﾛｯｸﾃｰﾌﾟ･ｾｷｭｱｴｯｼﾞ(1ロール、1000ヶ入),18500
902-A,ﾚﾝｽﾞﾛｯｸﾃｰﾌﾟ･ｾｷｭｱｴｯｼﾞ(10シート、100ヶ入),1950
901-B,ﾚﾝｽﾞﾛｯｸﾃｰﾌﾟ･ｾｷｭｱｴｯｼﾞ(1ロール、1000ヶ入),18500
901-A,ﾚﾝｽﾞﾛｯｸﾃｰﾌﾟ･ｾｷｭｱｴｯｼﾞ(10シート、100ヶ入),1950
900,アゴ紙,1450
899,眼鏡サシ,460
896N-C,メガネクリンビュークリア（くもり止めシートクリーナー）30包6箱入,2220
895N1-A,ﾒｶﾞﾈｸﾘﾝﾋﾞｭｰﾌﾟﾗｽ 徳用(ﾚﾝｽﾞ汚れｸﾘｰﾅｰ)60個,21600
895N1,ﾒｶﾞﾈｸﾘﾝﾋﾞｭｰﾌﾟﾗｽ(ﾚﾝｽﾞ汚れｸﾘｰﾅｰ)12個,4536
894N1-A,ﾒｶﾞﾈｸﾘﾝﾋﾞｭｰﾌﾟﾗｽ60個,23400
894N1,ﾒｶﾞﾈｸﾘﾝﾋﾞｭｰﾌﾟﾗｽ12個,4920
893-SSS5,耳ピタ シリコンチューブ 内径0.5mm 5m,5000
893-SSS,耳ピタ シリコンチューブ 内径0.5mm 1m,1000
893-SSL5,耳ピタ ｼｭﾘﾝｸﾞﾁｭｰﾌﾞ 内径1.0mm外径2.5㎜厚さ0.75㎜厚 5m,5000
893-SSL,耳ピタ ｼｭﾘﾝｸﾞﾁｭｰﾌﾞ 内径1.0mm外径2.5㎜厚さ0.75㎜厚 1m,1000
893-SS5,耳ピタ シリコンチューブ 内径1.0mm 5m,5000
893-SS,耳ピタ シリコンチューブ 内径1.0mm 1m,1000
893-SL5,耳ピタ ｼｭﾘﾝｸﾞﾁｭｰﾌﾞ 内径1.5mm外径3.0㎜厚さ0.75㎜厚 5m,5000
893-SL,耳ピタ ｼｭﾘﾝｸﾞﾁｭｰﾌﾞ 内径1.5mm外径3.0㎜厚さ0.75㎜厚 1m,1000
893-S5,耳ピタ シリコンチューブ 内径1.5mm 5m,5000
893-S,耳ピタ シリコンチューブ 内径1.5mm 1m,1000
893-ML5,耳ピタ シリコンチューブ 内径2.5㎜外径3.5㎜ 5m,5000
893-ML,耳ピタ シリコンチューブ 内径2.5㎜外径3.5㎜ 1m,1000
893-M5,耳ピタ シリコンチューブ 内径2.0mm 5m,5000
893-M,耳ピタ シリコンチューブ 内径2.0mm 1m,1000
893-L5,耳ピタ シリコンチューブ 内径2.5mm 5m,5000
893-L,耳ピタ シリコンチューブ 内径2.5mm 1m,1000
893-C,耳ピタ Cセット,3500
893-B,耳ピタ Bセット,5000
893-A,耳ピタ Aセット,10000
893-5L5,耳ピタ シリコンチューブ 内径5.0mm 5m,5000
893-5L,耳ピタ シリコンチューブ 内径5.0mm 1m,1000
893-4L5,耳ピタ シリコンチューブ 内径4.0mm 5m,5000
893-4L,耳ピタ シリコンチューブ 内径4.0mm 1m,1000
893-3L5,耳ピタ シリコンチューブ 内径3.0mm 5m,5000
893-3L,耳ピタ シリコンチューブ 内径3.0mm 1m,1000
893-3,耳ピタ シリコン液 100ml,1200
893-2M5,耳ピタ シリコンチューブ 内径2.0㎜外径3.5㎜ 5m,5000
893-2M,耳ピタ シリコンチューブ 内径2.0㎜外径3.5㎜ 1m,1000
893-2,シリコン液 150ml (お徳用）,1500
893-1,シリコン液 60ml,1000
892-A,眼鏡かける君（2段）,2300
889,メガネのふくだけシート,395
888-PK,メガロックＶ（ピンク）,3200
888-GE,メガロックＶ（グリーン）,3200
888-BU,メガロックＶ（ブルー）,3200
888-BL,メガロックＶ（ブラック）,3200
888-4C,メガロックＶ（4色アソートセット）,3200
886,パーツケース(一体型),1150
885,＋木製ドライバー 極小1.5mm,748
883-612,βチタンネジ(ゆるみ止付) 1.4×4.5,299
883-611,βチタンネジ(ゆるみ止付) 1.4×4.0,299
883-610,βチタンネジ(ゆるみ止付) 1.4×3.5,299
883-609,βチタンネジ(ゆるみ止付) 1.4×3.0,299
883-608,βチタンネジ(ゆるみ止付) 1.4×2.5,299
883-607,βチタンネジ(ゆるみ止付) 1.4×2.0,299
883-606,βチタンネジ(ゆるみ止付) 1.2×3.8,299
883-605,βチタンネジ(ゆるみ止付) 1.0×3.8,299
883,βチタンネジセット（ゆるみ止め付）,2450
880,フレーム線引台(ラインマーカー),6900
879-C,撥水レンズマーカー（C 青）,230
879-B,撥水レンズマーカー（B 赤）,230
878,多機能電池チェッカー,2875
877-2,うすめ液のみ,414
874,撥水レンズマーカー溶解液,518
867,レンズメーター用印点インク(白)壺式用,690
864,座金ゲージ,1955
862,累進レンズマーク検査器,33000
859-A,ﾔｯﾄｺ先ﾋﾞﾆｰﾙ(6ｹ入),345
859,ヤットコ,5300
858,ヤットコ（先平・先曲）,4400
855,眼鏡カーブサシ,575
854,ヤットコ(先平細･先曲）,4000
852,偏光サンバイザー,6000
850,レンズ保護テープ 粘着強力型,1300
846,先曲ロックホルダー（ロウ付け用）,1610
845-WRE,スワンズスポーツバンド （ワインレッド）,720
845-BK,スワンズスポーツバンド （ブラック）,720
845-B,スワンズスポーツバンド （ブルー）,720
843,検査用クラッチグラス,6500
841-A,メガネブク ハンディスプレー(クリーナー）50ヶ入,19950
841,メガネブク ハンディスプレー(クリーナー）12ヶ入,5040
840-A,メガネブク ハンディスプレー(くもりどめ）50ヶ入,19950
840,メガネブク ハンディスプレー(くもりどめ）12ヶ入,5040
83-94S,箱蝶大Ｗ19×9 (50組入),3500
83-94B,箱蝶大Ｗ19×9 (300組入),19620
83-94A,箱蝶大Ｗ19×9 (100組入),6840
83-94,箱蝶大Ｗ 19×9,299
83-93S,箱蝶大Ｇ 19×9 (50組入),3500
83-93B,箱蝶大Ｇ 19×9 (300組入),19620
83-93A,箱蝶大Ｇ 19×9 (100組入),6840
83-93,箱蝶大Ｇ 19×9,299
83-92S,箱蝶小Ｗ17×9 (50組入),3500
83-92B,箱蝶小Ｗ17×9 (300組入),19620
83-92A,箱蝶小Ｗ17×9 (100組入),6840
83-92,箱蝶小Ｗ 17×9,299
83-91S,箱蝶小Ｇ 17×9 (50組入),3500
83-91B,箱蝶小Ｇ 17×9 (300組入),19620
83-91A,箱蝶小Ｇ 17×9 (100組入),6840
83-91,箱蝶小Ｇ 17×9,299
838,木製ドライバーナット廻し(花型・2.6mm),1093
837,木製ドライバーナット廻し(六角・2.25mm),1093
836-A,穴切ドライバー(丸切),740
836,穴切りドライバ－セット(丸切・角切）,1472
834-1,NO.834ﾔｯﾄｺ先ﾌﾟﾗｽﾁｯｸ,403
834,ヤットコ,5300
831-P-38,ビーバ(ピンク)38 たすきタイプ,13000
831-P-36,ビーバ(ピンク)36 たすきタイプ,13000
831-B-38,ビーバ(ブルー)38 たすきタイプ,13000
831-B-36,ビーバ(ブルー)36 たすきタイプ,13000
83-106,箱蝶亀甲色大Ｇ 18×8,299
83-105,箱蝶亀甲色小Ｇ 17×8,299
83-104,箱蝶Ｗ 19×9,299
83-103,箱蝶Ｇ 19×9,299
83-102S,箱蝶シリコン小Ｗ 17×8(50組入),5370
83-102B,箱蝶シリコンパットＷ小(300組入),30440
83-102A,箱蝶シリコンパットＷ小(100組入),10500
83-102,箱蝶シリコン小Ｗ 17×8,299
83-101S,箱蝶シリコンパットＧ小(50組入),5370
83-101B,箱蝶シリコンパットＧ小(300組入),30440
83-101A,箱蝶シリコンパットＧ小(100組入),10500
83-101,箱蝶シリコン小Ｇ 17×8,299
830-P-38,ビーバ(ピンク)38 ゴーグルタイプ,11250
830-P-36,ビーバ(ピンク)36 ゴーグルタイプ,11250
830-B-38,ビーバ(ブルー)38 ゴーグルタイプ,11250
830-B-36,ビーバ(ブルー)36 ゴーグルタイプ,11250
829-P-38,ビーバ(ピンク)38 Ｔ字タイプ,11250
829-P-36,ビーバ(ピンク)36 Ｔ字タイプ,11250
829-B-38,ビーバ(ブルー)38 Ｔ字タイプ,11250
829-B-36,ビーバ(ブルー)36 Ｔ字タイプ,11250
828-P-38,ビーバ(ピンク)38 ケーブル＋バンドﾀｲﾌﾟ,11250
828-P-36,ビーバ(ピンク)36 ケーブル＋バンドﾀｲﾌﾟ,11250
828-B-38,ビーバ(ブルー)38 ケーブル＋バンドﾀｲﾌﾟ,11250
828-B-36,ビーバ(ブルー)36 ケーブル＋バンドﾀｲﾌﾟ,11250
827-563SS,ガード二本足（小型）W 5ﾍﾟｱ,3104
827-563,ガード二本足（小型）W,633
826-562SS,ｱｯﾌﾟﾀﾞｳﾝﾊﾟｯﾄ（大）箱蝶 18×9 5ﾍﾟｱ,2149
826-562,ｱｯﾌﾟﾀﾞｳﾝﾊﾟｯﾄ（大）箱蝶 18×9,437
825-561SS,ｱｯﾌﾟﾀﾞｳﾝﾊﾟｯﾄ（小）箱蝶 15×7.3 5ﾍﾟｱ,2149
825-561,ｱｯﾌﾟﾀﾞｳﾝﾊﾟｯﾄ（小）箱蝶 15×7.3,437
824-560SS,ｱｲｱｰﾑW(大）15.5×6.2 5ﾍﾟｱ,3450
824-560-ASS,アイアームＷ(大)15.5×6.2 ｱｰﾑ5ﾍﾟｱ入,2645
824-560,ｱｲｱｰﾑW(大）15.5×6.2,690
824-559SS,ｱｲｱｰﾑW(中）12.5×6.2 5ﾍﾟｱ,3450
824-559-ASS,アイアームＷ(中)12.5×6.2 ｱｰﾑ5ﾍﾟｱ入,2645
824-559,ｱｲｱｰﾑW(中）12.5×6.2,690
824-558SS,ｱｲｱｰﾑW(小） 9.5×6.2 5ﾍﾟｱ,3450
824-558-ASS,アイアームＷ(小)9.5×6.2 ｱｰﾑ5ﾍﾟｱ入,2645
824-558,ｱｲｱｰﾑW(小） 9.5×6.2,690
824,アイアームW 大中小各種5ﾍﾟｱ,10350
823-730SS,ピタームBS W 箱蝶 3.6 5ﾍﾟｱ,3450
823-730-ASS,ピタームBS W 箱蝶 3.6 ｱｰﾑ 5ﾍﾟｱ,2530
823-730,ピタームBS W 箱蝶 3.6,690
823-557SS,ﾋﾟﾀｰﾑW 箱蝶 ﾛｰﾎﾟｼﾞｼｮﾝ 4.8 5ﾍﾟｱ,3450
823-557-ASS,ﾋﾟﾀｰﾑW 箱蝶ﾛｰﾎﾟｼﾞｼｮﾝ 4.8 ｱｰﾑ5ﾍﾟｱ入,2530
823-557,ﾋﾟﾀｰﾑW 箱蝶 ﾛｰﾎﾟｼﾞｼｮﾝ 4.8,690
823-556SS,ﾋﾟﾀｰﾑW 箱蝶 ﾊｲﾎﾟｼﾞｼｮﾝ 6.2 5ﾍﾟｱ,3450
823-556-ASS,ﾋﾟﾀｰﾑW 箱蝶ﾊｲﾎﾟｼﾞｼｮﾝ 6.2 ｱｰﾑ5ﾍﾟｱ入,2530
823-556,ﾋﾟﾀｰﾑW 箱蝶 ﾊｲﾎﾟｼﾞｼｮﾝ 6.2,690
823,ピタームW ハイ・ロー各種5ﾍﾟｱ,6900
821-2,クリーンボックス 電球,3278
821,クリーンボックス,49500
820,超音波洗浄器専用クリーナー,656
819,メガネ用遮閉器,6000
818,メガネ用検眼テスト枠,15000
817,ランドルド環視標0.1,2000
815,万国式近点表（山地氏）,4100
814,ピンセット(ネジつかみ),3220
810-A,テグス(ﾅｲﾛｰﾙﾌﾚｰﾑ用) 0.6ｍｍ トーメイ,679
809-P,ビーバ お徳用セット （ピンク）,20850
809-B,ビーバ お徳用セット （ブルー）,20850
808-AE,ステッドラー(極細) 黒,345
807-C-YE,贈答用クロス(大判) 無地 イエロー,564
807-C-SB,贈答用クロス(大判) 無地 スカイブルー,564
807-C-NB,贈答用クロス(大判) 無地 ネイビーブルー,564
807-C-GL,贈答用クロス(大判) 無地 グレー,564
807-B-YE,贈答用クロス(大判) お年賀 イエロー,564
807-B-SB,贈答用クロス(大判) お年賀 スカイブルー,564
807-B-NB,贈答用クロス(大判) お年賀 ネイビーブルー,564
807-B-GL,贈答用クロス(大判) お年賀 グレー,564
807-A-YE,贈答用クロス(大判) 粗品 イエロー,564
807-A-SB,贈答用クロス(大判) 粗品 スカイブルー,564
807-A-NB,贈答用クロス(大判) 粗品 ネイビーブルー,564
807-A-GL,贈答用クロス(大判) 粗品 グレー,564
806-D,削込ダイヤモンド砥石,4025
806-C,削込カバー,1127
806-B,電源トランス,5175
806-A,ハンドドリル,10350
806,ミニルーター（12Vタイプ）,15525
805-R,クラッチグラスⅡ右用,2800
805N-R,クラッチグラスα右用,3300
805N-L,クラッチグラスα左用,3300
805-L,クラッチグラスⅡ左用,2800
803EX-YE,ﾒｶﾞﾈのｼｬﾝﾌﾟｰ 除菌EX(ﾄﾛﾋﾟｶﾙ)200ml,355
803EX-V,ﾒｶﾞﾈのｼｬﾝﾌﾟｰ 除菌EX(ﾑｽｸ)200ml,355
803EX-R-A,ﾒｶﾞﾈのｼｬﾝﾌﾟｰ 除菌EX(ﾌﾛｰﾗﾙ)詰替用160ml,284
803EX-R,ﾒｶﾞﾈのｼｬﾝﾌﾟｰ 除菌EX(ﾌﾛｰﾗﾙ)200ml,355
803EX-CL-A,ﾒｶﾞﾈのｼｬﾝﾌﾟｰ 除菌EX (無香料)詰替用160ml,284
803EX-CL,ﾒｶﾞﾈのｼｬﾝﾌﾟｰ 除菌EX (無香料)200ml,355
803EX-B-A,ﾒｶﾞﾈのｼｬﾝﾌﾟｰ 除菌EX(ｱｸｱ)詰替用160ml,284
803EX-B,ﾒｶﾞﾈのｼｬﾝﾌﾟｰ 除菌EX(ｱｸｱ)200ml,355
803EX-A,ﾒｶﾞﾈのｼｬﾝﾌﾟｰ 除菌EX(ﾐﾝﾃｨ)詰替用160ml,284
803EX,ﾒｶﾞﾈのｼｬﾝﾌﾟｰ 除菌EX(ﾐﾝﾃｨ)200ml,355
801N-BK,SWANSスポーツベルトDX ブラック,600
800-1,NO.800ﾔｯﾄｺ先ﾌﾟﾗｽﾁｯｸ,403
799-1,NO.799ﾔｯﾄｺ先ﾌﾟﾗｽﾁｯｸ(1組中1ヶ分),403
798-B,レンズロックテープ ワイドカップ用(1ロール、1000ヶ入),12420
798-A,レンズロックテープ ワイドカップ用(10シート、100ヶ入),1380
797-SB,ノンスリップクロスL スカイブルー,564
797-P,ノンスリップクロスL ピンク,564
797,ノンスリップクロスL,6762
796-YE,マイクロクロスクリーン(大判) イエロー,564
796-SB,マイクロクロスクリーン(大判) スカイブルー,564
796-NB,マイクロクロスクリーン(大判) ネイビーブルー,564
796-GL,マイクロクロスクリーン(大判) グレー,564
796-1-YE,ﾏｲｸﾛｸﾛｽｸﾘｰﾝ(大判)台紙なし(イエロー)兼用,483
796-1-SB,ﾏｲｸﾛｸﾛｽｸﾘｰﾝ(大判)台紙なし(ｽｶｲﾌﾞﾙｰ)兼用,483
796-1-NB,ﾏｲｸﾛｸﾛｽｸﾘｰﾝ(大判)台紙なし(ﾈｲﾋﾞｰﾌﾞﾙｰ) 兼用,483
796-1-GL,ﾏｲｸﾛｸﾛｽｸﾘｰﾝ(大判)台紙なし(グレー) 兼用,483
795,(-)チェンジドライバーセット(3本入),2000
794S,(+)ﾁｪﾝｼﾞﾄﾞﾗｲﾊﾞｰｾｯﾄ(3本入),2000
794-1,"チェンジﾄﾞﾗｲﾊﾞ-柄[No.794,795]兼用",820
794,(+)ﾁｪﾝｼﾞﾄﾞﾗｲﾊﾞｰｾｯﾄ(2本入),1645
793,オイルスプレー(CRC5-56),748
792,ミニルーター（100Vタイプ),19780
791-RE,ターンディスプレイ(レッド),4313
791-BK,ターンディスプレイ(ブラック),4313
791-B,ターンディスプレイ(ブルー),4313
789,強力マグネットツールバー,1955
788,35通ポータブルレンズセット(アルミケース仕様),123800
787,25通ポータブルレンズセット(アルミケース仕様),91500
778,電子ガスバーナー,10350
775,方眼シール(50枚入),1150
773-529,ロッキングデバイス,1250
773-528,バネ,755
773-527,スプリングボルト,755
773-526,スライドバネ丁番スライドケースW,820
773-525,スライドバネ丁番スライドケースG,820
773-524,スライドバネ丁番スライドケースW,820
773-523,スライドバネ丁番スライドケースG,820
772-522,プランジャー,1250
772-521,バネ,755
772-520,スプリングボルト,755
772-519,スライドバネ丁番スライドケースW,820
772-518,スライドバネ丁番スライドケースG,820
772,スライドバネ丁番セット,8500
77,ヤットコ[77，69-L，230-L，172-2-L]兼用,3600
76-B,ヤットコ,4800
769-K,値札用回転印(欧文5号6連),1800
769-F,値札(ホワイト）税抜価格（1000枚入）,4600
769-B,値札(ブルー）税込価格（1000枚入）,4600
769-A,値札(ホワイト）税込価格（1000枚入）,4600
768-C,プライスホルダーC（100枚入),1650
767,サーモレックス,45425
766-1,先プラスチック(5mm),403
766,ヤットコ(5mm),5900
765-1,先プラスチック(3mm),484
765,ヤットコ(3mm),5900
76-1,NO.76ﾔｯﾄｺ先ﾌﾟﾗｽﾁｯｸ(1組中1ヶ分),403
759N,ﾉﾝﾌﾛﾝｸﾘｰﾝｴｰｽ(ｴｱﾀﾞｽﾀｰ),1190
757-OR-2,合成石CZ(ｵﾚﾝｼﾞ)2.25mm(80個入),9200
757-GY-2,合成石CZ(ｺﾞｰﾙﾃﾞﾝｲｴﾛｰ)2.25mm(80個入),9200
757-BR-4,合成石CZ(ﾌﾞﾗｳﾝ)1.5mm(80個入),7360
756-S-4,天然石サファイヤ1.5mm(10個入),12650
756-S-2,天然石サファイヤ2.25mm(2個入),8280
756-R-4,天然石ルビー1.5mm(10個入),12650
756-R-2,天然石ルビー2.25mm(2個入),8280
756-D-4,天然石ダイヤ1.5mm(10個入),17250
756-D-2,天然石ダイヤ2.25mm(2個入),13570
755-C,エンジェルジュエリー専用段付ドリル2.25mm用,3450
755-B,エンジェルジュエリー専用段付ドリル1.5mm用,3450
754,保護テープカッター,6000
752-Z,横田流フィッティング術実践編パート4,2857
752-Y,横田流フィッティング術実践編パート3,2857
752-X,すぐに役立つ眼鏡学 実務編,4800
752-WX,すぐに役立つ眼鏡学 (理論編・実務編 2冊ｾｯﾄ),9000
752-W,すぐに役立つ眼鏡学 理論編,4500
752-V,横田流フィッティング術実践編パート2,2857
752-T,横田流フィッティング術テクニックブック,2857
752-S,立体視検査,2857
752-Q,近用眼鏡処方の手順,3048
752-P,装用テストの実際,3240
752-N,眼鏡用語辞典,2381
752-M,野矢さんの 眼鏡学講座3,3429
752-L,基礎両眼視,5400
